si_id,capability
SI1,CRM Implementation
SI1,Automation
SI2,Automation
SI2,Integration
SI3,Automation
SI3,AI Integration
SI3,CRM Implementation
SI4,CRM Implementation
SI4,ERP Deployment
SI5,CRM Implementation
SI5,Automation
SI6,CRM Implementation
SI6,Data Engineering
SI6,ERP Deployment
SI7,Integration
SI7,AI Integration
SI7,Automation
SI8,ERP Deployment
SI8,Integration
SI9,CRM Implementation
SI9,ERP Deployment
SI10,ERP Deployment
SI10,Integration
SI10,Data Engineering
SI11,AI Integration
SI11,Automation
SI12,Integration
SI12,CRM Implementation
SI13,Automation
SI14,ERP Deployment
SI14,Data Engineering
SI14,CRM Implementation
SI15,Integration
SI15,Automation
SI16,CRM Implementation
SI16,Automation
SI17,CRM Implementation
SI17,Automation
SI17,Data Engineering
SI18,Data Engineering
SI18,CRM Implementation
SI19,Data Engineering
SI19,AI Integration
SI20,Automation
SI20,Integration
SI21,Data Engineering
SI21,Integration
SI21,AI Integration
SI22,Integration
SI22,Automation
SI23,AI Integration
SI24,AI Integration
SI24,Integration
SI24,ERP Deployment
SI25,Data Engineering
SI25,CRM Implementation
SI25,AI Integration
SI26,Data Engineering
SI27,Integration
SI28,AI Integration
SI28,Automation
SI29,CRM Implementation
SI29,AI Integration
SI30,AI Integration
SI30,Automation
SI30,Data Engineering
SI31,ERP Deployment
SI31,CRM Implementation
SI32,Integration
SI32,AI Integration
SI32,Automation
SI33,Integration
SI34,Integration
SI34,AI Integration
SI34,Automation
SI35,ERP Deployment
SI35,AI Integration
SI36,Data Engineering
SI37,AI Integration
SI37,CRM Implementation
SI37,ERP Deployment
SI38,CRM Implementation
SI38,Automation
SI39,Integration
SI40,AI Integration
SI41,ERP Deployment
SI41,CRM Implementation
SI41,Data Engineering
SI42,AI Integration
SI42,CRM Implementation
SI42,ERP Deployment
SI43,AI Integration
SI43,Integration
SI43,Automation
SI44,Integration
SI44,AI Integration
SI45,CRM Implementation
SI46,Data Engineering
SI46,Automation
SI46,CRM Implementation
SI47,CRM Implementation
SI47,Integration
SI47,ERP Deployment
SI48,Automation
SI48,CRM Implementation
SI49,Automation
SI49,CRM Implementation
SI50,Automation
SI50,Integration
